0.6,-9.48576e-005
0.61,-0.00012525
0.62,-0.000164897
0.63,-0.00021664
0.64,-0.000284159
0.65,-0.000372205
0.66,-0.000486915
0.67,-0.0006362
0.68,-0.00083024
0.69,-0.00108211
0.7,-0.00140857
0.71,-0.00183104
0.72,-0.00237688
0.73,-0.00308085
0.74,-0.00398708
0.75,-0.00515136
0.76,-0.006644
0.77,-0.00855327
0.78,-0.0109895
0.79,-0.0140902
0.8,-0.0180255
0.81,-0.023005
0.82,-0.0292854
0.83,-0.0371784
0.84,-0.0470603
0.85,-0.0593805
0.86,-0.0746703
0.87,-0.0935498
0.88,-0.116732
0.89,-0.145023
0.9,-0.179308
0.91,-0.220539
0.92,-0.269689
0.93,-0.327699
0.94,-0.395389
0.95,-0.47334
0.96,-0.561747
0.97,-0.66023
0.98,-0.767644
0.99,-0.881917
1,-1
0,3
0.01,2.70428
0.02,2.41442
0.03,2.1357
0.04,1.87249
0.05,1.628
0.06,1.40431
0.07,1.20243
0.08,1.02248
0.09,0.863878
0.1,0.7255
0.11,0.60588
0.12,0.503341
0.13,0.416116
0.14,0.342438
0.15,0.280602
0.16,0.229013
0.17,0.186206
0.18,0.150867
0.19,0.121829
0.2,0.0980728
0.21,0.0787158
0.22,0.0630033
0.23,0.0502943
0.24,0.0400488
0.25,0.0318149
0.26,0.0252171
0.27,0.0199449
0.28,0.015743
0.29,0.0124022
0.3,0.00975239
0.31,0.0076552
0.32,0.00599888
0.33,0.00469334
0.34,0.00366624
0.35,0.00285964
0.36,0.00222727
0.37,0.0017323
0.38,0.00134544
0.39,0.00104349
0.4,0.000808114
0.41,0.000624806
0.42,0.000482147
0.43,0.000371145
0.44,0.000284724
0.45,0.000217315
0.46,0.00016453
0.47,0.000122898
0.48,8.96537e-005
0.49,6.25701e-005
0.5,3.98174e-005
0.51,1.98486e-005
0.52,1.30052e-006
0.53,-1.70927e-005
0.54,-3.65811e-005
0.55,-5.84783e-005
0.56,-8.42441e-005
0.57,-0.000115574
0.58,-0.000154506
0.59,-0.000203534
0.6,-0.000265764
0.61,-0.000345085
0.62,-0.000446389
0.63,-0.000575842
0.64,-0.000741216
0.65,-0.000952295
0.66,-0.00122138
0.67,-0.00156392
0.68,-0.00199922
0.69,-0.00255143
0.7,-0.00325057
0.71,-0.0041339
0.72,-0.00524753
0.73,-0.00664822
0.74,-0.00840564
0.75,-0.0106049
0.76,-0.0133496
0.77,-0.0167647
0.78,-0.0210011
0.79,-0.0262386
0.8,-0.0326909
0.81,-0.0406098
0.82,-0.0502891
0.83,-0.0620688
0.84,-0.0763376
0.85,-0.0935341
0.86,-0.114146
0.87,-0.138705
0.88,-0.16778
0.89,-0.20196
0.9,-0.241833
0.91,-0.287959
0.92,-0.340827
0.93,-0.400809
0.94,-0.468102
0.95,-0.542666
0.96,-0.624163
