0,0
0.001,0.00284633
0.002,0.00569264
0.003,0.00853889
0.004,0.0113851
0.005,0.0142311
0.006,0.017077
0.007,0.0199228
0.008,0.0227683
0.009,0.0256136
0.01,0.0284587
0.011,0.0313035
0.012,0.034148
0.013,0.0369921
0.014,0.0398359
0.015,0.0426793
0.016,0.0455223
0.017,0.0483648
0.018,0.0512068
0.019,0.0540483
0.02,0.0568893
0.021,0.0597298
0.022,0.0625696
0.023,0.0654089
0.024,0.0682474
0.025,0.0710854
0.026,0.0739226
0.027,0.076759
0.028,0.0795948
0.029,0.0824297
0.03,0.0852638
0.031,0.0880971
0.032,0.0909295
0.033,0.093761
0.034,0.0965916
0.035,0.0994213
0.036,0.10225
0.037,0.105078
0.038,0.107904
0.039,0.11073
0.04,0.113554
0.041,0.116378
0.042,0.1192
0.043,0.122021
0.044,0.12484
0.045,0.127659
0.046,0.130476
0.047,0.133292
0.048,0.136107
0.049,0.13892
0.05,0.141732
0.051,0.144543
0.052,0.147352
0.053,0.15016
0.054,0.152966
0.055,0.155771
0.056,0.158574
0.057,0.161376
0.058,0.164176
0.059,0.166974
0.06,0.169771
0.061,0.172566
0.062,0.175359
0.063,0.178151
0.064,0.180941
0.065,0.183729
0.066,0.186515
0.067,0.1893
0.068,0.192082
0.069,0.194863
0.07,0.197642
0.071,0.200419
0.072,0.203193
0.073,0.205966
0.074,0.208737
0.075,0.211506
0.076,0.214272
0.077,0.217037
0.078,0.219799
0.079,0.22256
0.08,0.225318
0.081,0.228073
0.082,0.230827
0.083,0.233578
0.084,0.236327
0.085,0.239074
0.086,0.241818
0.087,0.24456
0.088,0.247299
0.089,0.250036
0.09,0.252771
0.091,0.255503
0.092,0.258233
0.093,0.26096
0.094,0.263684
0.095,0.266406
0.096,0.269125
0.097,0.271842
0.098,0.274555
0.099,0.277267
0.1,0.279975
0.101,0.282681
0.102,0.285383
0.103,0.288084
0.104,0.290781
0.105,0.293475
0.106,0.296166
0.107,0.298855
0.108,0.301541
0.109,0.304223
0.11,0.306903
0.111,0.309579
0.112,0.312253
0.113,0.314923
0.114,0.31759
0.115,0.320255
0.116,0.322916
0.117,0.325573
0.118,0.328228
0.119,0.330879
0.12,0.333527
0.121,0.336172
0.122,0.338814
0.123,0.341452
0.124,0.344087
0.125,0.346718
0.126,0.349346
0.127,0.351971
0.128,0.354592
0.129,0.357209
0.13,0.359823
0.131,0.362434
0.132,0.365041
0.133,0.367644
0.134,0.370243
0.135,0.372839
0.136,0.375432
0.137,0.37802
0.138,0.380605
0.139,0.383186
0.14,0.385764
0.141,0.388337
0.142,0.390907
0.143,0.393473
0.144,0.396035
0.145,0.398593
0.146,0.401147
0.147,0.403697
0.148,0.406243
0.149,0.408785
0.15,0.411324
0.151,0.413858
0.152,0.416388
0.153,0.418914
0.154,0.421435
0.155,0.423953
0.156,0.426466
0.157,0.428975
0.158,0.43148
0.159,0.433981
0.16,0.436478
0.161,0.43897
0.162,0.441457
0.163,0.443941
0.164,0.44642
0.165,0.448894
0.166,0.451365
0.167,0.45383
0.168,0.456292
0.169,0.458748
0.17,0.461201
0.171,0.463648
0.172,0.466092
0.173,0.46853
